Time(s),Total Energy(J)
48700000.0,-6.065137613404165e+33
48800000.0,-6.065138500752375e+33
48900000.0,-6.065139734177765e+33
49000000.0,-6.06514130181746e+33
49100000.0,-6.065143188631424e+33
49200000.0,-6.065145376633649e+33
49300000.0,-6.065147845162002e+33
49400000.0,-6.065150571179782e+33
49500000.0,-6.065153529601052e+33
49600000.0,-6.065156693631779e+33
49700000.0,-6.065160035118591e+33
49800000.0,-6.06516352489745e+33
49900000.0,-6.065167133135164e+33
50000000.0,-6.065170829657422e+33
50100000.0,-6.065174584257982e+33
50200000.0,-6.065178366984798e+33
50300000.0,-6.065182148399808e+33
50400000.0,-6.06518589981031e+33
50500000.0,-6.065189593470725e+33
50600000.0,-6.06519320275474e+33
50700000.0,-6.065196702298258e+33
50800000.0,-6.065200068114703e+33
50900000.0,-6.065203277684412e+33
51000000.0,-6.065206310020511e+33
51100000.0,-6.06520914571389e+33
51200000.0,-6.065211766959952e+33
51300000.0,-6.065214157570195e+33
51400000.0,-6.065216302971319e+33
51500000.0,-6.065218190194719e+33
51600000.0,-6.065219807859033e+33
51700000.0,-6.065221146148191e+33
51800000.0,-6.065222196787206e+33
51900000.0,-6.065222953017773e+33
52000000.0,-6.065223409575265e+33
52100000.0,-6.065223562668796e+33
52200000.0,-6.065223409965303e+33
52300000.0,-6.06522295057865e+33
52400000.0,-6.065222185064251e+33
52500000.0,-6.065221115419491e+33
52600000.0,-6.065219745089939e+33
52700000.0,-6.065218078980997e+33
52800000.0,-6.065216123474253e+33
52900000.0,-6.065213886447842e+33
53000000.0,-6.065211377299306e+33
53100000.0,-6.065208606969631e+33
53200000.0,-6.065205587966555e+33
53300000.0,-6.065202334385112e+33
53400000.0,-6.06519886192306e+33
53500000.0,-6.065195187888685e+33
53600000.0,-6.065191331198195e+33
53700000.0,-6.065187312359944e+33
53800000.0,-6.065183153442479e+33
53900000.0,-6.06517887802359e+33
54000000.0,-6.065174511117515e+33
54100000.0,-6.065170079077833e+33
54200000.0,-6.065165609473826e+33
54300000.0,-6.065161130938443e+33
54400000.0,-6.065156672986995e+33
54500000.0,-6.065152265805922e+33
54600000.0,-6.065147940012332e+33
54700000.0,-6.065143726385541e+33
54800000.0,-6.065139655573303e+33
54900000.0,-6.065135757775985e+33
55000000.0,-6.065132062413582e+33
55100000.0,-6.065128597780962e+33
55200000.0,-6.065125390698011e+33
55300000.0,-6.065122466161954e+33
55400000.0,-6.06511984700958e+33
55500000.0,-6.065117553597604e+33
55600000.0,-6.065115603509143e+33
55700000.0,-6.065114011294177e+33
55800000.0,-6.065112788250994e+33
55900000.0,-6.065111942254917e+33
56000000.0,-6.0651114776391e+33
56100000.0,-6.065111395131003e+33
56200000.0,-6.06511169184639e+33
56300000.0,-6.06511236134092e+33
56400000.0,-6.065113393717923e+33
56500000.0,-6.065114775789118e+33
56600000.0,-6.065116491283532e+33
56700000.0,-6.065118521098822e+33
56800000.0,-6.065120843587917e+33
56900000.0,-6.065123434873378e+33
57000000.0,-6.065126269181437e+33
57100000.0,-6.065129319187504e+33
57200000.0,-6.065132556365458e+33
57300000.0,-6.065135951333027e+33
57400000.0,-6.065139474186814e+33
57500000.0,-6.065143094821106e+33
57600000.0,-6.065146783225603e+33
57700000.0,-6.065150509758394e+33
57800000.0,-6.065154245391436e+33
57900000.0,-6.065157961927015e+33
58000000.0,-6.065161632184307e+33
58100000.0,-6.065165230156348e+33
58200000.0,-6.06516873113829e+33
58300000.0,-6.065172111828564e+33
58400000.0,-6.065175350405101e+33
58500000.0,-6.065178426579288e+33
58600000.0,-6.06518132163049e+33
58700000.0,-6.065184018424315e+33
58800000.0,-6.065186501417337e+33
58900000.0,-6.065188756651305e+33
59000000.0,-6.065190771739289e+33
59100000.0,-6.065192535846176e+33
59200000.0,-6.065194039665854e+33
59300000.0,-6.065195275397058e+33
59400000.0,-6.065196236719862e+33
59500000.0,-6.065196918774418e+33
59600000.0,-6.0651973181435e+33
59700000.0,-6.065197432839756e+33
59800000.0,-6.065197262298622e+33
59900000.0,-6.065196807377165e+33
60000000.0,-6.065196070358913e+33
60100000.0,-6.065195054963792e+33
60200000.0,-6.065193766362388e+33
60300000.0,-6.06519221119308e+33
60400000.0,-6.065190397581088e+33
60500000.0,-6.065188335158978e+33
60600000.0,-6.065186035088393e+33
60700000.0,-6.065183510082267e+33
60800000.0,-6.06518077442564e+33
60900000.0,-6.065177843991518e+33
61000000.0,-6.065174736247783e+33
61100000.0,-6.065171470251228e+33
61200000.0,-6.065168066625419e+33
61300000.0,-6.065164547519899e+33
61400000.0,-6.065160936548394e+33
61500000.0,-6.065157258703769e+33
61600000.0,-6.065153540247744e+33
61700000.0,-6.065149808573219e+33
61800000.0,-6.065146092038097e+33
61900000.0,-6.065142419769376e+33
62000000.0,-6.065138821437815e+33
62100000.0,-6.065135327003835e+33
62200000.0,-6.065131966436737e+33
62300000.0,-6.065128769410126e+33
62400000.0,-6.06512576497771e+33
62500000.0,-6.065122981234472e+33
62600000.0,-6.0651204449695e+33
62700000.0,-6.065118181317314e+33
62800000.0,-6.065116213415191e+33
62900000.0,-6.065114562074776e+33
63000000.0,-6.065113245475738e+33
63100000.0,-6.065112278889702e+33
63200000.0,-6.065111674441867e+33
63300000.0,-6.065111440916852e+33
63400000.0,-6.065111583614525e+33
63500000.0,-6.065112104259843e+33
63600000.0,-6.065113000969487e+33
63700000.0,-6.065114268276308e+33
63800000.0,-6.065115897210718e+33
63900000.0,-6.065117875436859e+33
64000000.0,-6.065120187439333e+33
64100000.0,-6.065122814755393e+33
64200000.0,-6.065125736245874e+33
64300000.0,-6.065128928397631e+33
64400000.0,-6.065132365649632e+33
64500000.0,-6.065136020734415e+33
64600000.0,-6.065139865027063e+33
64700000.0,-6.06514386889388e+33
64800000.0,-6.065148002033816e+33
64900000.0,-6.065152233806266e+33
65000000.0,-6.065156533540085e+33
65100000.0,-6.065160870819429e+33
65200000.0,-6.065165215743252e+33
65300000.0,-6.065169539156448e+33
65400000.0,-6.065173812851375e+33
65500000.0,-6.065178009739627e+33
65600000.0,-6.065182103994722e+33
65700000.0,-6.065186071167026e+33
65800000.0,-6.065189888272756e+33
65900000.0,-6.065193533859432e+33
66000000.0,-6.06519698805039e+33
66100000.0,-6.065200232571219e+33
66200000.0,-6.065203250760955e+33
66300000.0,-6.06520602757096e+33
66400000.0,-6.065208549554345e+33
66500000.0,-6.065210804848534e+33
66600000.0,-6.065212783153493e+33
66700000.0,-6.065214475707833e+33
66800000.0,-6.06521587526481e+33
66900000.0,-6.065216976069965e+33
67000000.0,-6.065217773841681e+33
67100000.0,-6.065218265756067e+33
67200000.0,-6.06521845043672e+33
67300000.0,-6.065218327950181e+33
67400000.0,-6.065217899807075e+33
67500000.0,-6.065217168969185e+33
67600000.0,-6.065216139861794e+33
67700000.0,-6.065214818390875e+33
67800000.0,-6.06521321196395e+33
67900000.0,-6.06521132951349e+33
68000000.0,-6.065209181521068e+33
68100000.0,-6.065206780040647e+33
68200000.0,-6.065204138718702e+33
68300000.0,-6.065201272809186e+33
68400000.0,-6.065198199180788e+33
68500000.0,-6.065194936314065e+33
68600000.0,-6.065191504285568e+33
68700000.0,-6.065187924736138e+33
68800000.0,-6.065184220820302e+33
68900000.0,-6.065180417133755e+33
69000000.0,-6.065176539616473e+33
69100000.0,-6.065172615428884e+33
69200000.0,-6.065168672799637e+33
69300000.0,-6.065164740843749e+33
69400000.0,-6.065160849350985e+33
69500000.0,-6.065157028544883e+33
69600000.0,-6.065153308813968e+33
69700000.0,-6.065149720417696e+33
69800000.0,-6.065146293170653e+33
69900000.0,-6.065143056109648e+33
70000000.0,-6.065140037149308e+33
70100000.0,-6.065137262732822e+33
70200000.0,-6.065134757484995e+33
70300000.0,-6.065132543875534e+33
70400000.0,-6.065130641900603e+33
70500000.0,-6.065129068790783e+33
70600000.0,-6.065127838753094e+33
70700000.0,-6.065126962754263e+33
70800000.0,-6.065126448351253e+33
70900000.0,-6.06512629957404e+33
71000000.0,-6.065126516863996e+33
71100000.0,-6.065127097069693e+33
71200000.0,-6.065128033500362e+33
71300000.0,-6.065129316035211e+33
71400000.0,-6.065130931285643e+33
71500000.0,-6.065132862805493e+33
71600000.0,-6.065135091343535e+33
71700000.0,-6.06513759513133e+33
71800000.0,-6.065140350198751e+33
71900000.0,-6.065143330709238e+33
72000000.0,-6.065146509306202e+33
72100000.0,-6.065149857462558e+33
72200000.0,-6.065153345824925e+33
72300000.0,-6.065156944545768e+33
72400000.0,-6.065160623597675e+33
72500000.0,-6.065164353066408e+33
72600000.0,-6.065168103420537e+33
72700000.0,-6.06517184575631e+33
72800000.0,-6.065175552015927e+33
72900000.0,-6.065179195177342e+33
73000000.0,-6.065182749414032e+33
73100000.0,-6.065186190224874e+33
73200000.0,-6.065189494535529e+33
73300000.0,-6.065192640774049e+33
73400000.0,-6.065195608923693e+33
73500000.0,-6.065198380556335e+33
73600000.0,-6.06520093884937e+33
73700000.0,-6.065203268589172e+33
73800000.0,-6.065205356163956e+33
73900000.0,-6.065207189548593e+33
74000000.0,-6.065208758284042e+33
74100000.0,-6.065210053453595e+33
74200000.0,-6.065211067658127e+33
74300000.0,-6.065211794992135e+33
74400000.0,-6.065212231022116e+33
74500000.0,-6.065212372768705e+33
74600000.0,-6.065212218693324e+33
